AT2G26510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G14690,GO:0006950,GO:0008150,GO:0009266,GO:0009314,GO:0009408,GO:0009411,GO:0009416,GO:0009628,GO:0009637,GO:0009639,GO:0009889,GO:0009987,GO:0010029,GO:0010030,GO:0010114,GO:0010117,GO:0010218,GO:0010224,GO:0010380,GO:0019222,GO:0031323,GO:0031326,GO:0033554,GO:0034605,GO:0048518,GO:0048580,GO:0048582,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051171,GO:0051193,GO:0051239,GO:0051240,GO:0051716,GO:0065007,GO:0071214,GO:0071478,GO:0071482,GO:0071483,GO:0090056,GO:1900140,GO:1901401,GO:1901463,GO:2000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G17260,GO:0001101,GO:0006950,GO:0006970,GO:0008150,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0010033,GO:0033993,GO:0042221,GO:0050896,GO:0097305,GO:1901700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G16515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G17090,GO:0000272,GO:0005975,GO:0005976,GO:0005982,GO:0005983,GO:0006073,GO:0006950,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0009266,GO:0009409,GO:0009628,GO:0009987,GO:0016052,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0050896,GO:0071704,GO:1901575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G13940,GO:0000003,GO:0003006,GO:0007275,GO:0008150,GO:0009790,GO:0009791,GO:0009793,GO:0010154,GO:0022414,GO:0032501,GO:0032502,GO:0044699,GO:0044702,GO:0044707,GO:0044767,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0061458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G14560,GO:0008150,GO:0009719,GO:0009725,GO:0009733,GO:0010033,GO:0042221,GO:0050896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G17550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G16390,GO:0006417,GO:0006996,GO:0008150,GO:0009657,GO:0009658,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0016043,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0034248,GO:0034250,GO:0045727,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0071840,GO:0080090,GO:2000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G15920,GO:0006461,GO:0006950,GO:0007623,GO:0008150,GO:0009266,GO:0009314,GO:0009409,GO:0009416,GO:0009628,GO:0009642,GO:0009646,GO:0009743,GO:0009746,GO:0009750,GO:0009987,GO:0010033,GO:0016043,GO:0022607,GO:0033554,GO:0034284,GO:0042221,GO:0043933,GO:0044085,GO:0048511,GO:0050896,GO:0051259,GO:0051260,GO:0051716,GO:0065003,GO:0070271,GO:0070417,GO:0071822,GO:0071840,GO:1901700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G15130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
