At2g26510,GO:0035344,GO:0098702,GO:0098710,GO:0098721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g39795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g39780,GO:0010507,GO:0016075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g23340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g39850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g40900,GO:0044746,GO:0048316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g40950,GO:0006355,GO:0042538,GO:0045893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g41630,GO:0009960,GO:0010183,GO:0080092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g47450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At2g47490,GO:0043132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g12420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g67740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g67750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g67730,GO:0009793,GO:0042761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g25570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15440,GO:0009611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g16780,GO:0008283,GO:0009641,GO:0009733,GO:0009735,GO:0009826,GO:0010016,GO:0010017,GO:0010218,GO:0045892,GO:0048364,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15560,GO:0015995,GO:0019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17530,GO:0009555,GO:0009860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14690,GO:0010030,GO:0010114,GO:0010117,GO:0010218,GO:0010224,GO:0010380,GO:0034605,GO:0071483,GO:0071486,GO:0071490,GO:0071491,GO:0071492,,,,,,,,,,,,,,,,,,,,,,,,
At4g16770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g16146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17260,GO:0009651,GO:0009737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g16515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g16447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17090,GO:0000024,GO:0005983,GO:0009409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g16690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g13940,GO:0006346,GO:0009793,GO:0016441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14560,GO:0009733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17550,GO:0055062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g17140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g16710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g16390,GO:0009658,GO:0031425,GO:0045727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15920,GO:0006995,GO:0007623,GO:0009646,GO:0009750,GO:0015755,GO:0051260,GO:0070417,GO:1902334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15130,GO:0006656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g15430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14550,GO:0009733,GO:0010102,GO:0045892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g14090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g25230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g25275,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g28330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g73390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g73380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g73480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g51140,GO:0006355,GO:0010119,GO:0042335,GO:0048573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g51090,GO:0050832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g66890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g33600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g32160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g26220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g09420,GO:0006626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g09440,GO:0050832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g11070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g13110,GO:0006006,GO:0009051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g13090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20830,GO:0001666,GO:0006970,GO:0009409,GO:0009413,GO:0009414,GO:0009744,GO:0009749,GO:0010555,GO:0046686,GO:0072708,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g08330,GO:0006355,GO:0042752,GO:0043433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g10730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g21100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g21170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g08400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20280,GO:0071836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g19875,GO:0006979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g20110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g19940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At5g32440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g37240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g36640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g37260,GO:0009723,GO:0009737,GO:0009751,GO:0009753,GO:0010200,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g31780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At4g36940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At3g51895,GO:0008272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g77400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At1g58150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
