AT2G26510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2G39780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2G40900,GO:0048316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2G40950,GO:0006355,GO:0042538,GO:0045893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2G41630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2G47450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2G47490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G67740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G67730,GO:0009793,GO:0042761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G15440,GO:0009611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G16780,GO:0010017,GO:0009735,GO:0009641,GO:0048364,GO:0009826,GO:0009733,GO:0008283,GO:0045892,GO:0010218,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G15560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G17530,GO:0009555,GO:0009860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G14690,GO:0010114,GO:0010117,GO:0010030,GO:0010224,GO:0010380,GO:0034605,GO:0071483,GO:0010218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G17260,GO:0009651,GO:0009737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G16515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G17090,GO:0005983,GO:0009409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G13940,GO:0009793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G14560,GO:0009733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G17550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G16390,GO:0009658,GO:0045727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G15920,GO:0007623,GO:0009646,GO:0070417,GO:0009750,GO:0051260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G15130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G14550,GO:0045892,GO:0009733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G25275,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G51140,GO:0006355,GO:0010119,GO:0042335,GO:0048573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G51090,GO:0050832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G09420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G09440,GO:0050832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G13110,GO:0006006,GO:0009051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G20830,GO:0046686,GO:0009414,GO:0009409,GO:0001666,GO:0009749,GO:0006970,GO:0009744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G08330,GO:0042752,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G20280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G19875,GO:0006979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G37260,GO:0009723,GO:0009737,GO:0009751,GO:0009753,GO:0010200,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G51895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G16760,GO:0010264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G17050,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15850,GO:0009909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15090,GO:0009735,GO:0009409,GO:0042742,GO:0010029,GO:0009617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14920,GO:0009651,GO:0009737,GO:0009739,GO:2000377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15450,GO:0009408,GO:0009658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14940,GO:0009624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G48920,GO:0048364,GO:0048367,GO:0006364,GO:0048366,GO:0010305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G27380,GO:0009753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G25900,GO:0009740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G26220,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G25110,GO:0050832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G25190,GO:0009873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G24800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G67580,GO:0009651,GO:0009723,GO:0009733,GO:0009737,GO:0009739,GO:0009751,GO:0009753,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G67480,GO:0009611,GO:0009651,GO:0009751,GO:0009753,GO:0042542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G67030,GO:0009414,GO:0010114,GO:0010182,GO:0009408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G67210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G66880,GO:0006970,GO:0009414,GO:0009651,GO:0009737,GO:0009738,GO:0009739,GO:0010029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G66680,GO:0009826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G65210,GO:0042742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G64920,GO:0016567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G64620,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G63910,GO:0009738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G63800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G63380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G62530,GO:0072593,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G62430,GO:0006355,GO:0009658,GO:0045892,GO:0048510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G62440,GO:0009793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G62210,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G62220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G61810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G61380,GO:0007623,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G61580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G61590,GO:0009414,GO:0045893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G61030,GO:0009409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G60890,GO:0009753,GO:0010438,GO:0045893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G58960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G59080,GO:0006979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G58600,GO:0009620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G58710,GO:0048364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G58260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G58130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G58070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G57660,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G57110,GO:0009624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G56360,GO:0042742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G56030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G55120,GO:0010193,GO:0009753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G54960,GO:0001666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G54470,GO:0006355,GO:0009409,GO:0009555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G54630,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G54060,GO:0071368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G53970,GO:0010189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G53200,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G53400,GO:0009555,GO:0010286,GO:0009735,GO:0009965,GO:0009408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G53280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G53160,GO:0009737,GO:0009738,GO:0009789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G53170,GO:0009644,GO:0009408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G52570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G52310,GO:0006970,GO:0009409,GO:0009414,GO:0009651,GO:0009737,GO:0010150,GO:0042538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G52520,GO:0009553,GO:0048316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G50720,GO:0009409,GO:0009414,GO:0009737,GO:0042538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G49970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G49330,GO:0051555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G49480,GO:0042538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G48930,GO:0009809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G48850,GO:0010438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G47650,GO:0006979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G47390,GO:0046686,GO:0009723,GO:0009737,GO:0009753,GO:0009651,GO:0009739,GO:0009751,GO:0048366,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G46690,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G46110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G45750,GO:0042546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G45340,GO:0009414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G44670,GO:0042546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G44110,GO:0010114,GO:0010218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G43810,GO:0051607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G43280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G42900,GO:0009409,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G42890,GO:0009845,GO:0006635,GO:0009735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G43060,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G42750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G41670,GO:0009051,GO:0009744,GO:0009749,GO:0009750,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G41920,GO:0048366,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G41190,GO:0006364,GO:0009555,GO:0009553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G40890,GO:0015706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G40390,GO:0006979,GO:0009414,GO:0009737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G37670,GO:0000302,GO:0009408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G36890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G37055,GO:0042742,GO:0009909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G24430,GO:0046777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G24120,GO:0010114,GO:0009658,GO:0071483,GO:0010207,GO:0045893,GO:0010218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G24300,GO:0010021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G23730,GO:0009658,GO:0010224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G22920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G23020,GO:0019761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G23060,GO:0009704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G22650,GO:0009294,GO:0045892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G22300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G18650,GO:0016567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G18170,GO:0006807,GO:0009646,GO:0009651,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G17300,GO:0007623,GO:0006355,GO:0009734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G16400,GO:0045454,GO:0043085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14640,GO:0046777,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14570,GO:0015706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15120,GO:0001666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G13930,GO:0006979,GO:0010224,GO:0009926,GO:0009611,GO:0009753,GO:0009813,GO:0009733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G13750,GO:0009414,GO:0080167,GO:0048364,GO:0009630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G13640,GO:0019432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G13710,GO:0009793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G13730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G13770,GO:0009658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G12140,GO:0009611,GO:0034605,GO:0042631,GO:0070417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G12250,GO:0009409,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
